,Unnamed: 0,ratings,reviews,label,label_t
21,21,5,오늘 받고 바로 까보았어요갤럭시 버즈 플러스 하얀색 입니다좋은 점은 완전 하얀색 인줄 알았는데 가운데 부분이 약간 상아색 이 연하게 들어가서 깔끔함이 더 묻어나오는 듯 합니다개취일 수도 있지만 완전 올흰색보다 이게 더 깔끔한 디자인으로 생각해요구성품은 메뉴얼이 뚜껑에 붙어있어서 나중에 확인 했지만이어피스 4개  인지 정확히 모르겠네요보통 본품만 쓰지 부속품은 잘 안쓰는 편이라귓구멍에 꼽았는데 딴딴하니 잘 꼽혀요제 폰 갤노트9 에 블루스트 연결을 하니 관련 어플이 자동 실행 되고 설정이 되는 듯 합니다음악을 틀었는데 저는 보통 자동차 안에서 듣는 음악을 좋아하는데 이거로 들으니 음감이 훨씬 나아요막귀 입니다그동안 제 차의 사운드가 정말 후진거라 느끼게 되네요이어폰이나 해드셋은 정말 안쓰는 스타일이라 주 용도는 업무중 핸즈프리나 집에서 조용히 컴퓨터 할 때 강의 들을 때회사에서 사운드를 들을 일이 있을때 등으로 쓰려고 샀어요저는 도보 이동중에 사용하려고 산 용도는 아니지요PC용 동글이도 집에 사무실에 하나씩 2개를 사두었고 사무실에서는 특정 강의업무용을 무엇보다 아직 통화나 메뉴얼 등은 제대로 숙지를 못했기에 사용에 익숙하게 적응좀 해야 겠습니다뚜껑 여는게 에어팟의 자성 강한 느낌이랑 틀리는게 에어팟느낌이 더 좋다고 느낍니다저는 에어팟을 안쓰지만 옆에 쓰는 걸로 열어보기만 했어요음질이 차이나는지는 모르겠지만앞서 저는 막귀 이기 때문에 이정도 사운드는 훌륭 하다고 느낍니다,1,0
25,25,5,1 내부 포장 및 배송 사진으로 보시다시피 제품 포장 자체는 달라진 점이 거의 없습니다 버즈와 동일한 구성입니다 배송 포장은 에어캡 없이 박스에 제품박스가 담겨져 왔습니다 물건이 워낙 가벼우니 별 문제 없겠지만 조금 아쉬운 부분입니다 그래도 정가로 17만원 이상하는 제품인데 안전 포장이 필요해 보입니다2 디자인 케이스 크기와 모양이 전혀 바뀌지 않았기에 기존 버즈의 커버를 그대로 사용할 수 있습니다 버즈에 비해 글로시한 소재로 바뀌었기 때문에 케이스와 이어폰에 지문이 선명하게 남습니다 이 부분 때문에 이어폰은 몰라도 보관케이스는 커버가 필수로 보입니다 바로 집에 있는 케이스를 장착3 실사용 느낌 첫 번째 케이스 마그네틱의 강도가 세졌습니다 이건 확실히 느껴지네요 이어폰 충전 부분이 좀더 깊이 들어갔습니다 이 것도 사진으로 찍었어야 했는데 사용하다 보니 알게 되었습니다 음악을 들으면서 기존 버즈 대비 확연하게 좋아졌다고 느끼기엔 조금 애매했습니다 오디오 전문가가 아니라 일반인의 입장에서 보면 크게 차이 나는 부분은 없었습니다 단지 웨어러블 소프트를 통해 자체 이퀄라이져를 만져 주면 좀더 풍성한 소리를 들을 수 있습니다 버즈 에서 자체 제공해 주는 이퀄라이져라 소프트웨어로 이퀄라이져를 만져주면 버즈 보다는 풍성한 소리가 들림  저는 확실히 좋아진 거 같았어요 친구랑 테스트를 위해 통화를 했는데 확실히 또렷하게 들린다고 하더군요 기존 버즈 끼고 통화하면 블루투스 통화라는 게 확 티가 났는데4 편의 기타 주변 소리 듣기가 토글로 바뀌었습니다 그리고 웨어러블 SW에서 3단계 조절이 가능해 졌습니다 기존에는 길게 누르고 있다가 손을 떼면 바로 주변소리 듣기 통화 중 주변 소리 듣기 기능도 생겼네요 이건 SW 업데이트로 인한 기능인지 버즈 고유 기능인지 잘 모르겠군요5 총평 청음 보다는 통화에 좀더 집중해서 업데이트 한 느낌이 납니다 그리고 배터리 사용시간이 늘어난 것 체감이 되네요 기존 버즈도 사용했기 때문에 버즈 로 바로 업데이트 했습니다전 통화보다 음악을 많이 듣기 때문에 음향 쪽으로 좀 더 발전이 있기를 바랬는데 버즈 대비 확 와 닿는 부분은 없었습니다그래도 버즈에 비해 편의사양이 크게 개선 되어 나와서~ ,1,0
31,31,5,60을 내다보면서 뭘 이리 센 가격대의 제품을 쓰나 하는 고민을 하게 하는 제품이었네요 듣는거라고는 설거지나 청소할때 성경말씀 듣는게 거의 90를 차지하는지라 장바구니에 담아두고 고민하기를 여러날 했던거 같습니다 아들에게 부탁해서 운동할때 들으려 저렴한거 사서 써봤는데 딱 돈만큼 사용하고 한쪽것이 들리지 않아서 결국 바리는 일을 저지르고 말았네요 제 나름대로는 소비제품에 약간의 비용을 지불한듯해서 제대로된 평을 하고파 구매후 사용을 한번 해보았답니다 일단은 색상이 연한 하늘빛이라 마음에 드네요 물론 취양에 따라 다르겠지만 선명한것은 처음에 확 눈에 들어오다가 질리기도 금새 질리더라구요 두번째는 귀에 딱 맞아서인지 기술력인지 진짜 밖에 소리 잘 안들리고 상대방어 소리를 들을수 있었어요 또 전화시 다른 소음도 확실히 전번거랑 비교될정도로 잡음이 덜들려서 좋았어요 계단오르기와 작은 뜀박에도 떨어지지 않았네요 귀에 안착감이 좋아서 장시간에도 통증 없어서 생활속에서 즐겨 사용하고 있어요,1,0
35,35,5,한 달 사용해본 후기로 일단 qcyt1에서 넘어왔는데요급이 다른 수준 같지만 의외로 qcy사운드에 감탄일단 공간감이나 해상력은 좋아진 게 느껴졌는데 베이스음이 너무 약해서 이어폰이 귀를 때리는 저음 사운드가 없다는게 너~~~무 아쉬웠습니다 EQ를 정말 여러가지로 변경해봤지만 qcy만큼의 저음은 못 찾았네요 사운드는 만족합니다 가장 큰 장점은 어플과 연계한 빠른 연결성과 인식속도 및 터치 편의성인 것 같습니다 터치도 너무 잘 인식하구요 음량조절은 이어폰을 직접 터치하는 것보다 귀 뒷부분을 터치하는 게 더 잘 인식되긴합니다 스마트폰갤럭시이 좀 오래된 기종인데도 끊김이 거의 없었습니다 마지막으로 주변소리듣기 기능은 노래소리를 크게 듣고 있으면 솔직히 최대로 해놓아도 주변소리가 잘 안 들리긴합니다 노래소리를 줄이면 큰 소리들은 날카롭게 들리지만 대화는 가능할 정도는 되구요 신기한 기능이라고 생각됐습니다 통품도 준수합니다 좋습니다 추천드려요,1,0
41,41,5,버즈 플러스가 딱 맞게 들어가서 부피를 줄이고 제품 충격에 영향을 안 줄거같은 작은 택배상자부터 뭔가 다름을 느꼈는데 기본포장이긴 하지만 다른 최저가 쇼핑몰 후기에 큰 박스에 뽁뽁이 없이 배송됐다는 말을 봐서 그나마 신경써주셨구나 느꼈습니다버즈 VS 에어팟 비교분석을 유튜브 벼락치기로 하고 구매한거라 처음에 연결하는 방법만 알았지 그 멋나다는 이어폰 뚜껑열면 나오는 이어폰 충전상태 애니메이션 나오게 하는 방법도 모르고 이어폰을 끼고 폰 음량 최대로 올렸는데도 소리가 작아서 뭐지 불량인가 하면서 약간 헤맸는데 네이버 삼성스마트폰카페가 많이 도움이 되더군요버즈는 그냥 뚜껑열면 충전상태 애니메이션이 나왔다고 하는거 같은데 이번 플러스는 smartthings 앱 깔고 휴대폰 설정에서 검색창에 기타 연결 설정에 들어가서 주변 디바이스 찾기 누르면 되더라구요그리고 버즈내에 음량조절하는거 있어요갤럭시 웨어러블 앱에서 터치패드에서 조정할 수 있어요 더 써봐야 알겠지만 ,1,0
42,42,4,이거 K에서 사면 더 싸게 살 수 있는데 문상받은게 있었서 여기서 샀습니다만 만약에 여기서 그냥 자기돈 내서 사실 분은 여기서 사지 마세요 그리고 노이즈캔슬링이 있는 줄 알고 샀는데 그냥 AKG튜닝이네요 뭐 제가 제대로 보지 않고 산 제 잘못이니까요 전체적으로 마감 좋고 사운드 좋고 ANC가 빠지건 조금 아쉽지만 기존에 사용하던 소니 헤드폰 보다 NC가 잘 되네요 전용 앱도 있어서 유용해요 전체적으로 기대 준수입니다 음 조금 더 저렴하게 구매했다면 더 좋았을 것을 이란 생각이 듭니다만 그래도 기대 이하는 아니여서 나름 만족합니다 한 가지 더 조언을 해 주자면 배터리가 확실히 다른 무선 이어폰에 비해 적어요 여기서는 11시간이 사용 가능한 대용량이라고 하지만 옆 동네 anker만 가도 26시간은 기본으로 뽑습니다 그것도 3만이나 더 저렴하게 NC 빼고는 별 4개 NC 포함 별 45개 입니다 다음 세대에는 ANC탑재를 기원합니다~ 여기는 45는 않되서 4개 드립니다,1,0
44,44,5,확실히 저가 무선이어폰에 비하면 음향이나 음질이 뛰어나지만음 좀 의외다 싶은 부분이 있다면커널형치고는 생각보다는 외부소리가 잘 들린다는 거유선 커널이어폰 정도를 생각했는데그 정도는 아니고 유선 오픈형 이어폰을 살짝 생각나게 하더라고요버즈라이브와 플러스 고민하다가 커널형이라는 점에서 플러스 산거였는데 기회되면뭔가 혹평만 한 것 같지만 그래도 있습니다무엇보다 배송이 빨리 온 거랑2020년 11월 버전을 보내주신 게 마음에 드네요,1,0
45,45,5,저는 유선이어폰을 잘 쓰는 사람이라 무선이어폰의 필요성을 못느끼고 살았습니다 굳이 비싸고 심지어 충전까지 따로 해야하는 무선이어폰을 왜 사야하지 라는 생각을 가졌었으나 최신폰들은 이어폰단자랑 충전단자가 하나로 통일되어 불편함을 느끼던 와중 잘 쓰던 유선이어폰도 잃어버려 큰 맘 먹고 구매했습니다여러 리뷰에서 과방전이나 불량제품이라는 안좋은 이야기 때문에 걱정이 많았는데 여기는 배송도 빠르고 과방전 같은 것도 없이 페어링이 잘 되었어요 써보니까 확실히 선이 없어 편하고 활동에 제약없이 좀더 자유로운게 좋네요 제가 귓구멍도 오른쪽이 왼쪽이랑 다르게 생겼는지 유선이어폰은 오른쪽이 흘러내렸는데 이 아이는 그런 것 없이 잘 맞습니다 그동안 안맞으면 어떡하지 걷다가 떨어뜨리면 어쩌지 걱정이 불구하게 참 좋아서  감사합니다,1,0
46,46,5,와이프 선물해주려고 무선이어폰을 이틀정도 검색하고 알아봤는데 저가형은 as도 번거롭고 금방고장나고 조금 가격대를 올려서 찾다가 버즈로 마음을 굳히고 버즈라이브와 플러스중에 고민하다가 결국엔 버즈플러스로 결정했습니다리뷰에 한쪽이 안들린다는 리뷰보고 걱정했는데 이상있으면 서비스센터 갈생각으로 구매했어요삼성서비스센터는 많으니까요 다행이 양쪽모두 소리 잘나오구요 현재 와이프가 사용법익히고 있습니다제품도 이쁘고 구매 잘한거같습니다사용해보고 한달후기 남길께요마지막사진 케이스는 개인적으로 따로 구매한거에요,1,0
62,62,4,두달 사용 후기 일단 좋긴 좋아요 무선이어폰인만큼 유선에비해 굉장히 자유롭습니다 그리고 배터리도 엄청 오래가요 그런데 사용하다보니 잔고장 오류 같은게 있더라구요 일단 폰이 갤럭시가 아니라서 그런가 버즈랑 연결이 좀 느려요 느린거 알고 사긴했는데 시간이 지날수록 더 느려지는 느낌 폰과 이어폰이 한 15~20걸음 정도 멀어지면 연결이 잘 안돼요실내기준 폰을 거실에 두고 다른방에 들어가면 뚝뚝 끊겨요 약간 벽에 가로 막히면 소리가 끊긴다고 보면 돼요 그리고 갑자기 뜬금없이 소리가 끊길때가 있어요 예를 들면 잘 들리다가 다음 노래 재생했더니 소리가 안들린다던가 하는 경우요 음량조절도 안먹을때가 있어요 보통은 재연결하면 해결됐는데 안될때도 있더라구요 그럴땐 그냥 블루투스 끄고 이어폰을 하루 이틀정도 방치하다 다시 연결하면 되더라구요 지금까지 2번 그랬습니다그래도 지금까지 서비스센터를 갈 정도로 고장이 난것도 아니니 잘 쓰고있습니다ㅋㅋㅋ,1,0
63,63,5,왼쪽이 과방전 이었지만 인터넷 검색해서 해결했어요 파란색은 과방전 상품이 많은가봐요 이거 스스로 고치는거 귀찮으신분들은 흰색 주문하는게 좋을듯합니다 하지만 파란색이 예쁘기때문에 파란색 주문해서 고치는것도 괜찮은거같아요 터치하는부분에 핑크홀로그램이 보일듯말듯 들어가있어요 개인취향이지만 흰색보다 질리지 않을것같은 색입니다배송도 하루만에 왔고 잘 들려요 싸구려 쓰다가 귀가 아파서 바꿨는데 귀에 안정감이 있네요 무엇보다 베터리가 오래가요 하루종일 연결하고있어도 중간에 충전 하라는 메세지가 안떠요근데 터치인식이 너무 예민해서 귀에 낄때 자꾸 반응해요 그래서 터치기능 꺼야합니다 그게좀 아쉬워요,1,0
65,65,4,좋아요~~~ 많이파세오~~~케이스 불량이예요버즈플러스제품인데 케이스는 버즈인가요 미묘하게안맞아서 뚜껑이 안붙어요너무ㅡㅡㅡ이후에 걸 알았어요접착필름 넉넉하게 5개 보내주신다고해서 받았는데 실제로 4개 왔구요이것도 옥천에서 묶여잇다가 일주일만에 배송받음처음에 붙엿더니 또 안붙어서ㅠㅠ 하나버리고 다시 붙였어요접착력이 안좋은듯어쨌든 지금은 잘붙여서 다니고있는데 혹시나 어느샌가 접착력이 풀려서 떨어질까봐걱정이긴해요ㅜ많이파세요,1,0
67,67,4,버즈 라이브 좋긴 좋은데 버즈 플러스랑 차이점을 별로 못 느끼겠습니다 제가 막귀인 것도 있는데요 음질이 플러스보다 조금 더 좋은 정도 비슷비슷한데 오픈형이다 보니까 노래가 좀 퍼지는 느낌은 있어요 착용감이 좋다고 그러던데 연골이 좀 아픕니다 그리고 약간 헐렁한 느낌 좀 빠질 것 같은 느낌도 있어요 근데 안 빠집니다 귀에 안 맞아서 그런 것도 있어요 사람마다 다 다를 것 같아요 노이즈 캔슬링은 진짜 완전 쓸모가 없었습니다 하나 안 하나 차이점이 없었어요 버즈 플러스보다 배터리가 더 적던데 음 버즈 플러스 쓰시는 분은 계속 그거 쓰시는 것도 나쁘지 않을 것 같네용 물론 버즈 라이브 좋긴 좋아요 음질은 퍼지는 느낌이 딱 좋더라구요,1,0
68,68,4,대체로 편하고 좋은데 불편한 점을 꼽아보자면침대에 누워있을때 분명 귀에서 빠진 느낌이 없었는데 귀에서 빠졌다고 인지하는지 영상을 보는 중간중간에 멈출때가 있더라구요 그러면 뺐다가 다시 끼지 않는 이상 터치패드가 안먹힙니다그건 누워있을때만 그런거니까 제 귀모양이 잘 안맞는 모양일수도 있어요 평상시에는 크게 불편하진 않습니다그리고 최근따라 갑자기 블루투스 연결이 끊길때가 아주 가끔 있더라구요 다시 연결하면 제대로 작동하지만 공공장소에서 연결 끊기는 소리가 들리면 소리기 갑자기 스피커로 나올까봐 쫄려서ㅎㅎ그것말고는 다 편해요 충전도 저는 23일에 한번씩 하는편이에요 배터리 찡짱 오래가요 첨엔 윙팁때문에 날개 없는 윙팁을 사용했었는데 그러니까 귀에서 잘 빠지더라구요 날개 달린 윙팁도 며칠지나니까 적응돼서 이제 아무느낌 안나요 ,1,0
81,81,5,구매 이유  조깅할때 선이 걸리적거려서통화는 상대방이 잡음과 음질때문에불편할것같아서 이걸로는 사용안할예정외관  화이트는 머리속으로 아니다 아니다 해도 자꾸애플이미지가 연상되어서 블랙으로 구매함 착용감  일반 유선 번들이어폰들 착용감과 크게 다르지않음귀모양이 꽤 많이 일반적이지 않은 사람들에게는어떨지 모르겠지만 평범한 내 귀에는 편하고 안빠짐스몰미듐라지 세 사이즈로 귓바퀴고정용부품 귓구멍에 넣는부품이 들어있기때문에 자신에 맞춰서 사용하면 될듯함버즈플러스 후속작으로 버즈빈으로 불리던 버즈 라이브가 출시된다고 해서 고민했지만버즈플러스를 ,1,0
86,86,5,집 앞 대리점가서 구입한 버드 만족스럽게 잘 사용하다가 갑자기 오른쪽만 신호가 아예 안 먹혀 급하게 AS센터에서 서비스 받아 안심하며 집와서 수업 듣기 위해 착용했는데 웬걸 멀쩡하던 왼쪽까지 신호가 안 잡히는 황당한 일이이럴거면 아침부터 서비스센터는 왜 쫓아간건지 좀 어의 없고 화가 났네요 다시 서비스센터 갈까하다가 당장 월욜부터 온라인 수업도 들어야해서 토요일밤 급하게 배송 빠르고 조금이라도 싸게 살 수 있는 사이트 훑어 보다가 자정 다 되어서 주문했는데 주말 빼고 2일 걸렸네요 월욜 하루종일 수업 듣느라 무선 쓰다가 유선 쓰니까 불편하다는 아들때문에 배송 늦을까 걱정했는데 빠른 배송에 감사 드립니다 저번 버즈는 화이트 색상이라 깔끔하고 무난해서 좋았었는데 이번에는 산뜻한 블루로 주문했어요 블루 색상 강추 합니다 화면으로 볼때는 좀 더 짙은 블루같아서 촌스러우면 어쩌나 걱정했는데 배송 온 거 보니 화면보다 밝은 블루라 이뻐서 아들도 좋이라 합니다 이번엔 고장없이 오래 잘 사용했으면 좋겄어요,1,0
91,91,5,다른 쇼핑몰에서 구매하려고 봤더니 핑크 색상이 품절이거나 너무 비싸게 팔아서 알아보다가 구매했는데 저렴하게 잘 구매한 것 같아요 후기에 연결이 잘 안되서 서비스센터 갔다는 후기가 있길래 걱정했는데 연결 안되길래 인터넷에 검색해보니 완전방전인 경우 안된다길래 완충시키고 연결안되는 쪽 케이스에 넣었다 뺏다 반복하면서 빨간불 뜰 때 충전 다시 시키니까 완충되서 문제 없이 연결 되었어요 서비스센터 안가도 집에서 간단하게 연결하기 쉬워서 저렴한 가격에 핑크색 버즈 구매해서 너무 좋아요?,1,0
94,94,4,사전 예약이라 빠른 배송을 받을 수 있지 않을까 했는데 거의 일주일 걸려서 오더라고요 처음에는 그 주 토요일 배송 완료였다가 수요일로 밀리고 이것만 기다렸는데 계속 늦어져서 속상했어요 막 쿠팡이나 11번가 최저가 가격도 떨어지고 거기가 더 빨리 온다는 말에 울기 직전이었던 기다리고 기다려서 제품 온 날 바로 열어서 가족들한테 다 자랑하고 다녔네요 요즘은 운동하러 나갈 때도 머리 귀 뒤로 다 넘기고 다닌답니다 나 버즈 플러스 블루다 자랑하고 다니는 중 버즈 귀 아프다는 분들 많아서 걱정 많이 했었는데 저는 아직 괜찮구요 블루 색상 너무 예쁘네요 케이스에 끼우면 자동으로 이어버드가 충전이 되어서 그런지 케이스 배터리 줄어드는 속도가 꽤 빠른 듯 한데 이건 원래 그런 건지 잘 모르겠더라고요 폰 고치러 삼성 서비스 센터 갈 때 한 번 물어보려고요 제품 색상이랑 기능은 다 좋은데 배송이 너무 늦어져서 별은 하나 뺄게요 ㅠㅠ 에어팟 프로는 가격 부담 너무 심하고 에어팟 2세대는 갤럭시 폰이 영상 볼 때 약간의 딜레이가 있을 거다 하고 갤럭시는 버즈지 하는 분들도 많고 버즈는 통화 품질이 거지라고 해서 플러스 존버했는데 존버는 성공인 것 같아요 블루 예뻐요 천년만년 함께 살자 내 버즈 ♡♡,1,0
95,95,3,버즈플러스를 기존에 사용하다가 분실로인해 재구매하게죄었는데요일단 부족한점으로는 기존에 쓰던것보다 블루투스 연결부부분이 조금 약합니다귀에 조금만 뭐가 닿아도 소리가 바로 끊기고 블루투스 사정거리도 전보다 조금 더 짧아졌습니다사실 교환할까 고민도했지만 당장 필요하기에 일단 불편을 조금 감수해볼까합니다제가 운이 안좋은듯하니 다른분들에게는 정상적인 제품이 가기를 바래요그래도함께 구매한 철방지용 스티커도 너무 예뻐서 있어요ㅎㅎ,1,0
100,100,3,2020 akg 적용이라고 적혀있길래 다른 버즈 플러스보다 더 좋은 건가 하고 여기서 샀는데무선이어폰잘모름 도착 후에 다른 사이트 다시 봤더니 다른 버즈 플러스랑 똑같더라구요 가격도 더 싼곳 얼마든지 찾을 수 있었는데 그냥 네이버 검색 첫번째로 나오기도 했고 급 빨리 쓰고 싶어서 여기서 샀어요처음 무선 이어폰 써보는데 생각보다 가벼워요 첫 무선 이어폰으로 괜찮을 것 같아요,1,0
